[11:34:25] [warning] CC3D: Initialized Log
[11:34:25] [info] APP: Hello Crosa Conty 3D!
[11:34:25] [info] CC3D: Creating window CC3D Editor (1280, 720)
[11:34:26] [info] CC3D: OpenGL Info:
[11:34:26] [info] CC3D:   Vendor: NVIDIA Corporation
[11:34:26] [info] CC3D:   Renderer: GeForce GTX 1660 Ti/PCIe/SSE2
[11:34:26] [info] CC3D:   Version: 4.6.0 NVIDIA 462.31
[11:34:26] [info] CC3D:   GLSL_Version: 4.60 NVIDIA
[11:34:27] [error] CC3D: Failed to load image!: assets\textures\124.png
[11:34:29] [trace] APP: Successed Load Model
[11:34:29] [error] CC3D: Program/shader state performance warning: Vertex shader in program 3 is being recompiled based on GL state.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:33] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
[11:34:34] [critical] CC3D: GL_INVALID_OPERATION error generated. <location> is invalid.
